                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7823,                  7.674,                 4.3724,                0.01174,                0.03075,                0.00519,                0.00099,                 3.1966,                 7.3507,                 4.4389,               0.071426,              0.0025489,              0.0025489
                      2,                 1.9202,                 2.8463,                 2.0417,                0.20825,                0.48099,                0.20015,                0.09269,                 1.5212,                  2.272,                 1.5917,               0.042732,              0.0051043,              0.0051043
                      3,                 1.3764,                 2.2793,                 1.4557,                0.13747,                0.49437,                0.20834,                0.10795,                 1.3155,                   3.25,                  1.361,               0.014033,              0.0076556,              0.0076556
                      4,                 1.3105,                 2.1236,                 1.3566,                0.14527,                0.41183,                0.20284,                0.12146,                 1.0676,                 1.8678,                 1.1933,              0.0081707,              0.0081707,              0.0081707
                      5,                 1.1459,                 2.0119,                  1.246,                0.21072,                0.45232,                0.25609,                0.16247,                 1.0733,                 1.7491,                 1.1522,              0.0081642,              0.0081642,              0.0081642
                      6,                 1.1206,                 1.8871,                  1.207,                0.22255,                0.24817,                0.24482,                0.15907,                0.91934,                 2.1421,                 1.1088,              0.0081578,              0.0081578,              0.0081578
                      7,                 1.0763,                 1.8224,                 1.1719,                0.14555,                0.47226,                0.22096,                0.15182,                0.88646,                 2.0335,                 1.0693,              0.0081513,              0.0081513,              0.0081513
                      8,                 1.0221,                 1.7643,                  1.136,                0.29451,                0.51462,                0.34522,                0.23704,                0.88052,                 1.5815,                 1.0342,              0.0081449,              0.0081449,              0.0081449
                      9,                 0.9852,                 1.7295,                 1.1143,                0.31059,                0.53579,                0.31508,                0.23399,                 0.7616,                 1.5846,                 1.0125,              0.0081384,              0.0081384,              0.0081384
                     10,                 0.9452,                 1.6755,                 1.0754,                0.29361,                0.56685,                 0.2986,                 0.2194,                0.73381,                 1.5941,                 0.9801,               0.008132,               0.008132,               0.008132
                     11,                0.92487,                 1.6116,                 1.0714,                 0.2981,                0.53111,                0.33532,                0.25974,                0.65917,                 1.6589,                 0.9604,              0.0081255,              0.0081255,              0.0081255
                     12,                0.91797,                 1.6035,                 1.0745,                0.21332,                0.47593,                0.27249,                0.21111,                0.65968,                 1.8501,                0.96102,              0.0081191,              0.0081191,              0.0081191
                     13,                0.89514,                 1.5286,                 1.0442,                0.29753,                0.56584,                0.33471,                0.25449,                0.66536,                  1.599,                0.95118,              0.0081126,              0.0081126,              0.0081126
                     14,                0.88152,                 1.5283,                 1.0351,                0.30493,                0.52264,                 0.3685,                0.28387,                0.65505,                 1.4735,                0.94484,              0.0081062,              0.0081062,              0.0081062
                     15,                0.86186,                 1.4718,                 1.0365,                0.37112,                0.60103,                0.38593,                0.29987,                0.63095,                 1.4335,                 0.9358,              0.0080997,              0.0080997,              0.0080997
                     16,                0.83032,                 1.4483,                 1.0146,                0.44009,                0.48284,                 0.4568,                0.35602,                0.64429,                 1.3531,                0.94204,              0.0080933,              0.0080933,              0.0080933
                     17,                 0.8178,                 1.4125,                 1.0117,                0.35095,                0.38848,                0.34065,                0.27008,                0.63371,                 1.7212,                0.94511,              0.0080868,              0.0080868,              0.0080868
                     18,                0.82368,                 1.4177,                 1.0196,                0.43056,                0.55435,                0.46009,                0.38348,                0.53203,                 1.3021,                0.90117,              0.0080804,              0.0080804,              0.0080804
                     19,                0.81874,                 1.3795,                 1.0008,                0.41595,                 0.5565,                0.47081,                0.37954,                 0.5963,                 1.2831,                0.92009,              0.0080739,              0.0080739,              0.0080739
                     20,                0.79424,                  1.374,                 1.0057,                0.41654,                0.51902,                0.43036,                 0.3347,                0.64315,                 1.3478,                0.92878,              0.0080675,              0.0080675,              0.0080675
